trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999977484189863}",20,0,-83.86987026895422,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9999909936860841}",20,0,-70.55210189761299,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9999797358317113}",20,0,-94.78547069389603,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9999639749065639}",30,0,-241.0668030905281,"{0: 14, 1: 2, 2: 9, 3: 2, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9999437109816156}",20,0,-145.62253212826462,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9999189441481183}",25,0,-62.42888591076282,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9998896745176011}",20,0,-125.5212699959619,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9998559022218699}",25,0,-56.805466994772836,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9998176274130068}",30,0,-174.86243408849668,"{0: 15, 1: 5, 2: 7, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9997748502633694}",20,0,-135.1331400909616,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9997275709655902}",20,3,-100.04525601508436,"{0: 8, 1: 1, 2: 5, 3: 3, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.9996757897325755}",20,11,-58.27142995218979,"{0: 4, 1: 3, 2: 1, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.9996195067975047}",30,17,-52.043667366788455,"{0: 6, 1: 1, 2: 6, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.9995587224138287}",20,0,-59.58020417342513,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9994934368552697}",20,0,-40.55693126015591,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.999423650415819}",20,0,-150.80863957731813,"{0: 8, 1: 1, 2: 8, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9993493634097365}",20,0,-97.29824606335882,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9992705761715482}",20,0,-73.99258214567365,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9991872890560461}",20,0,-59.594338043186994,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
