trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-181.1592145724415,"{0: 12, 1: 5, 2: 5, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-229.0938187834081,"{0: 10, 1: 4, 2: 6, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-79.46491565613267,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-183.79448425623937,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-80.2917317675928,"{0: 17, 1: 2, 2: 3, 3: 3, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",35,0,-130.32488123398392,"{0: 25, 1: 3, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-71.89715719649416,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.82393152896714,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-218.87038977459548,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,5,-31.6849227748774,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-175.0128180497285,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-51.78120284103946,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-19.787091427654826,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-165.02187617995688,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-172.53065983487392,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-100.9547692800099,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-194.12069639062557,"{0: 6, 1: 4, 2: 6, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-159.05215834183443,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-136.28453241410412,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-138.12877159986053,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-203.60334045564124,"{0: 9, 1: 1, 2: 5, 3: 2, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",35,0,-270.1596159075652,"{0: 17, 1: 3, 2: 9, 3: 3, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-33.65530582920305,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-141.93076736804326,"{0: 17, 1: 2, 2: 7, 3: 4, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-130.67482401340627,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-67.13040959550098,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,12,-20.1183679217051,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-72.21663914768833,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-117.25765721326692,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-93.68475960912377,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
